sistema,subsistema,propietario,razon_social,rut,central,estado,fecha_puesta_servicio_central,anio_servicio_central,region_nombre,comuna_nombre,cod_unidad,tipo_unidad,fecha_servicio_unidad,unidades,marca_modelo,clasificacion,tipo_de_energia,potencia_bruta_mw,potencia_neta_mw,ley_ernc,medio_generacion,distribuidora,punto_conexion,combustible_1,consumo_1,unidad_1,combustible_2,consumo_2,unidad_2,combustible_3,consumo_3,unidad_3,tipo_turbina_hidraulica,gasto_m3_por_s,caida_m,coord_este_utm,coord_norte_utm,huso_utm,tipo_final,orden,fecha_act
SEN,SIC,EMPRESA ELÉCTRICA CARÉN S.A.,,76.149.809-6,HP CARILAFQUEN,En Operacion,28/10/2016,2016,Región de La Araucanía,Melipeuco,,,,2,,ERNC,Mini Hidráulica Pasada,"19,80","19,24",Si,Instalaciones de generación,NO APLICA,SE MELIPEUCO 23KV,,,,,,,,,,,,,281337.35,5693206.42,19H,Mini Hidráulica de Pasada,12,12/10/2021
SEN,SIC,COLBÚN S.A.,,96.505.760-9,HP CHACABUQUITO,En Operacion,01/01/2002,2002,Región de Valparaíso,San Esteban,,,,4,,Convencional,Hidráulica Pasada,"25,70","25,64",No,Instalaciones de generación,NO APLICA,S/E TOTORALILLO 110KV,,,,,,,,,,,,,"359066,8531","6363941,732",19H,Hidráulica de Pasada,6,12/10/2021
SEN,SIC,PACIFIC HYDRO CHACAYES S.A.,,76.006.855-1,HP CHACAYES,En Operacion,31/12/2011,2011,Región del Libertador Gral. Bernardo O’Higgins,Machalí,,,,2,,Convencional,Hidráulica Pasada,"112,00","111,72",No,Instalaciones de generación,NO APLICA,S/E CENTRAL CHACAYES 110 KV,,,,,,,,,,,,,"366315,6514","6206335,729",19H,Hidráulica de Pasada,8,12/10/2021
SEN,SING,ENGIE ENERGÍA CHILE S.A.,,88.006.900-4,HP CHAPIQUIÑA,En Operacion,01/01/1967,1967,Región de Arica y Parinacota,Putre,,,,2,,ERNC,Hidráulica Pasada,"10,89","10,83",No,Instalaciones de generación,NO APLICA,S/E CENTRAL CHAPIQUIÑA 66KV,,,,,,,,,,,,,"442028,004","7968474,01",19K,Mini Hidráulica de Pasada,1,12/10/2021
SEN,SIC,COLBÚN S.A.,,96.505.760-9,HP CHIBURGO,En Operacion,19/07/2007,2007,Región del Maule,Colbún,,,,2,,ERNC,Mini Hidráulica Pasada,"19,40","19,16",Si,Instalaciones de generación,NO APLICA,S/E CENTRAL CHIBURGO 66KV,,,,,,,,,,,,,"286804,0006","6051019,85",19H,Mini Hidráulica de Pasada,9,12/10/2021
SEN,SIC,SOCIEDAD CONCESIONARIA EMBALSE CONVENTO VIEJO S.A.,,,HP CONVENTO VIEJO,En Operacion,21/02/2019,2019,Región del Libertador Gral. Bernardo O’Higgins,Chimbarongo,,,,2,,ERNC,Mini Hidráulica Pasada,"16,08","15,66",Si,Instalaciones de generación,NO APLICA,ID2105-S/E SECCIONADORA CONVENTO VIEJO,,,,,,,,,,,,,305155,6150633,19H,Mini Hidráulica de Pasada,8,12/10/2021
SEN,SIC,HIDROPALMAR S.A.,,76.065.092-7,HP CORRENTOSO,En Operacion,16/06/2020,2020,Región de Los Lagos,Puyehue,,,,1,,ERNC,Mini Hidráulica Pasada,"8,48","8,38",Si,Pequeños medio de generación o PMG,NO APLICA,SE Copihues,,,,,,,,,,,,,728393.88,5480812.59,18G,Mini Hidráulica de Pasada,14,12/10/2021
SEN,SIC,PACIFIC HYDRO CHILE S.A.,,96.990.040-8,HP COYA,En Operacion,09/07/2008,2008,Región del Libertador Gral. Bernardo O’Higgins,Machalí,,,,1,,ERNC,Mini Hidráulica Pasada,"12,00","11,97",Si,Instalaciones de generación,NO APLICA,S/E CENTRAL COYA 69KV,,,,,,,,,,,,,"359437,4705","6214070,085",19H,Mini Hidráulica de Pasada,8,12/10/2021
SEN,SIC,CUMBRES S.A.,,76.253.866-0,HP CUMBRES,En Operacion,28/09/2019,2019,Región de Los Ríos,Río Bueno,,,,2,,ERNC,Mini Hidráulica Pasada,"17,96","17,86",Si,Instalaciones de generación,NO APLICA,S/E Central Cumbres 23KV B1,,,,,,,,,,,,,736150,5496726,18H,Mini Hidráulica de Pasada,13,12/10/2021
SEN,SIC,EMPRESA ELÉCTRICA PEHUENCHE S.A.,,96.504.980-0,HP CURILLINQUE,En Operacion,01/01/1993,1993,Región del Maule,San Clemente,,,,1,,Convencional,Hidráulica Pasada,"92,00","91,77",No,Instalaciones de generación,NO APLICA,S/E CURILLINQUE 154KV,,,,,,,,,,,,,324557.69,6035885.94,19H,Hidráulica de Pasada,9,12/10/2021
SEN,SIC,ELÉCTRICA DIGUA SPA,,,HP DIGUA,En Operacion,19/05/2021,2021,Región del Maule,Parral,,,,2,,Convencional,Hidráulica Pasada,"24,00","23,83",No,Instalaciones de generación,No Aplica,ID2254 - S/E DIGUA,,,,,,,,,,,,,"270659,1104","5984567,325",19H,Hidráulica de Pasada,9,12/10/2021
SEN,SIC,HIDROELECTRICA DOS VALLES SPA,,76.495.341-K,HP DOS VALLES,En Operacion,14/09/2019,2019,Región del Libertador Gral. Bernardo O’Higgins,San Fernando,,,,1,,ERNC,Mini Hidráulica Pasada,"4,50","4,45",Si,Pequeños medio de generación o PMG,NO APLICA,S/E EL PASO 154 KV,,,,,,,,,,,,,"377490,026","6137019,988",19H,Mini Hidráulica de Pasada,8,12/10/2021
SEN,SIC,HIDROELÉCTRICA EL PASO SPA,,76.032.642-9,HP EL PASO,En Operacion,02/03/2016,2016,Región del Libertador Gral. Bernardo O’Higgins,San Fernando,,,,3,,Convencional,Hidráulica Pasada,"60,00","59,64",No,Instalaciones de generación,NO APLICA,S/E CENTRAL EL PASO 154KV,,,,,,,,,,,,,"370381,8","6129984,463",19H,Hidráulica de Pasada,8,12/10/2021
SEN,SIC,ASOC. DE CANAL. SOCIEDAD DEL CANAL DE MAIPO,,76.081.590-K,HP EL RINCON,En Operacion,13/04/2007,2007,Región Metropolitana de Santiago,La Florida,,,,1,,ERNC,Mini Hidráulica Pasada,"0,29","0,28",Si,Pequeños medio de generación o PMG,NO APLICA,ID 1223 BA S/E CENTRAL FLORIDA 2 12KV BP1,,,,,,,,,,,,,356744.76,6286886.30,19 H,Mini Hidráulica de Pasada,7,12/10/2021
SEN,SIC,ASOC. DE CANAL. SOCIEDAD DEL CANAL DE MAIPO,,76.081.590-K,HP FLORIDA II,En Operacion,01/01/1993,1993,Región Metropolitana de Santiago,La Florida,,,,2,,ERNC,Hidráulica Pasada,"19,89","19,12",,Instalaciones de generación,NO APLICA,ID 742 BA S/E FLORIDA 110KV BP1,,,,,,,,,,,,,356531.00,6286936.00,19 H,Mini Hidráulica de Pasada,7,12/10/2021
SEN,SIC,ASOC. DE CANAL. SOCIEDAD DEL CANAL DE MAIPO,,76.081.590-K,HP FLORIDA III,En Operacion,01/01/1999,1999,Región Metropolitana de Santiago,La Florida,,,,2,,ERNC,Hidráulica Pasada,"2,50","2,49",No,Pequeños medio de generación o PMG,NO APLICA,ID 1223 BA S/E CENTRAL FLORIDA 2 12KV BP1,,,,,,,,,,,,,356755.85,6286901.08,19 H,Mini Hidráulica de Pasada,7,12/10/2021
SEN,SIC,ASOC. DE CANAL. SOCIEDAD DEL CANAL DE MAIPO,,76.081.590-K,HP FLORIDA,En Operacion,01/01/1909,1909,Región Metropolitana de Santiago,La Florida,,,,2,,ERNC,Hidráulica Pasada,"6,00","5,99",No,Pequeños medio de generación o PMG,NO APLICA,ID 742 BA S/E FLORIDA 110KV BP1,,,,,,,,,,,,,356418.90,6287038.65,19 H,Mini Hidráulica de Pasada,7,12/10/2021
SEN,SIC,ENERGÍA COYANCO S.A.,,76.857.590-8,HP GUAYACAN,En Operacion,30/03/2011,2011,Región Metropolitana de Santiago,San José de Maipo,,,,2,,ERNC,Mini Hidráulica Pasada,"12,00","11,84",Si,Instalaciones de generación,NO APLICA,Tap La Laja 110 kV,,,,,,,,,,,,,373852,6281068,19H,Mini Hidráulica de Pasada,7,12/10/2021
SEN,SIC,RÍO TRANQUILO S.A.,,76.293.900-2,HP HORNITOS,En Operacion,01/01/2008,2008,Región de Valparaíso,Los Andes,,,,1,,Convencional,Hidráulica Pasada,"61,00","60,85",No,Instalaciones de generación,NO APLICA,S/E LOS MAQUIS 220KV,,,,,,,,,,,,,"381856,4637","6359059,774",19K,Hidráulica de Pasada,6,12/10/2021
SEN,SIC,ENEL GENERACIÓN CHILE S.A.,,91.081.000-6,HP ISLA,En Operacion,01/01/1963,1963,Región del Maule,San Clemente,,,,2,,Convencional,Hidráulica Pasada,"70,00","69,88",No,Instalaciones de generación,NO APLICA,S/E CENTRAL CIPRESES 154KV B2,,,,,,,,,,,,,334167.83,6035607.92,19H,Hidráulica de Pasada,9,12/10/2021
SEN,SIC,ELÉCTRICA PUNTILLA S.A.,,96.817.230-1,HP ITATA,En Operacion,09/09/2016,2016,Región de Ñuble,Yungay,,,,2,,ERNC,Mini Hidráulica Pasada,"20,00","19,43",,Instalaciones de generación,NO APLICA,TAP SECCIONADORA ITATA 66KV,,,,,,,,,,,,,750757.35,5895969.96,18H,Mini Hidráulica de Pasada,11,12/10/2021
SEN,SIC,COLBÚN S.A.,,96.505.760-9,HP JUNCAL,En Operacion,01/01/1994,1994,Región de Valparaíso,Los Andes,,,,1,,Convencional,Hidráulica Pasada,"29,20","29,13",No,Instalaciones de generación,NO APLICA,S/E ACONCAGUA 110KV,,,,,,,,,,,,,375665.57,6357124.17,19H,Hidráulica de Pasada,6,12/10/2021
SEN,SIC,COLBÚN S.A.,,96.505.760-9,HP JUNCALITO,En Operacion,01/01/1994,1994,Región de Valparaíso,Los Andes,,,,1,,ERNC,Mini Hidráulica Pasada,"1,52","1,52",Si,Pequeños medio de generación o PMG,NO APLICA,S/E HORNITOS 220KV,,,,,,,,,,,,,"381257,96","6358961,998",19H,Mini Hidráulica de Pasada,6,12/10/2021
SEN,SIC,HIDROELÉCTRICA LA CONFLUENCIA S.A.,,76.350.250-3,HP LA CONFLUENCIA,En Operacion,01/05/2011,2011,Región del Libertador Gral. Bernardo O’Higgins,San Fernando,,,,2,,Convencional,Hidráulica Pasada,"163,20","162,79",No,Instalaciones de generación,NO APLICA,S/E CENTRAL LA CONFLUENCIA 154KV,,,,,,,,,,,,,"357928,41","6144324,784",19G,Hidráulica de Pasada,8,12/10/2021
SEN,SIC,HIDROELÉCTRICA LA HIGUERA S.A.,,96.990.050-5,HP LA HIGUERA,En Operacion,02/05/2011,2011,Región del Libertador Gral. Bernardo O’Higgins,San Fernando,,,,2,,Convencional,Hidráulica Pasada,"155,00","154,61",No,Instalaciones de generación,NO APLICA,S/E CENTRAL LA HIGUERA 154KV B1,,,,,,,,,,,,,"343084,21","6153171,264",19H,Hidráulica de Pasada,8,12/10/2021
SEN,SIC,COLBÚN S.A.,,96.505.760-9,HP LA MINA,En Operacion,21/02/2018,2018,Región del Maule,San Clemente,,,,2,,Convencional,Hidráulica Pasada,"37,16","36,73",No,Instalaciones de generación,NO APLICA,TAP RIO COLORADO 66KV,,,,,,,,,,,,,342863.07,6033682.25,19H,Hidráulica de Pasada,9,12/10/2021
SEN,SIC,EÓLICA MONTE REDONDO SPA,,76.019.239-2,HP LAJA I,En Operacion,28/05/2015,2015,Región del Biobío,Laja,,,,2,,Convencional,Hidráulica Pasada,"34,40","34,06",No,Instalaciones de generación,NO APLICA,S/E BUCALEMU 66KV,,,,,,,,,,,,,"719027,9773","5875098,994",18H,Hidráulica de Pasada,10,12/10/2021
SEN,SIC,EMPRESA ELÉCTRICA LICÁN S.A.,,76.375.780-3,HP LICAN,En Operacion,04/06/2011,2011,Región de Los Ríos,Río Bueno,,,,2,,ERNC,Mini Hidráulica Pasada,"18,00","17,95",Si,Instalaciones de generación,NO APLICA,S/E MANTILHUE 110KV,,,,,,,,,,,,,"719814,7704","5500400,727",18G,Mini Hidráulica de Pasada,13,12/10/2021
SEN,SIC,HIDROELÉCTRICA RÍO LIRCAY S.A.,,76.025.973-K,HP LIRCAY,En Operacion,09/03/2009,2009,Región del Maule,San Clemente,,,,2,,ERNC,Mini Hidráulica Pasada,"19,00","18,95",Si,Instalaciones de generación,NO APLICA,S/E CENTRAL LIRCAY 66KV,,,,,,,,,,,,,294995.81,6065027.49,19H,Mini Hidráulica de Pasada,9,12/10/2021
SEN,SIC,HIDROELÉCTRICA LLEUQUEREO S.A.,,76.281.947-3,HP LLAUQUEREO,En Operacion,07/08/2015,2015,Región del Biobío,Santa Bárbara,,,,1,,ERNC,Mini Hidráulica Pasada,"1,80","1,75",Si,Pequeños medio de generación o PMG,NO APLICA,S/E PEUCHEN 220 KV,,,,,,,,,,,,,"277070,9757","5839265,01",19H,Mini Hidráulica de Pasada,10,12/10/2021
SEN,SIC,EMPRESA ELÉCTRICA PEHUENCHE S.A.,,96.504.980-0,HP LOMA ALTA,En Operacion,01/01/1997,1997,Región del Maule,San Clemente,,,,1,,Convencional,Hidráulica Pasada,"40,00","39,93",No,Instalaciones de generación,NO APLICA,TAP LOMA ALTA 220KV,,,,,,,,,,,,,320899.58,6037385.21,19H,Hidráulica de Pasada,9,12/10/2021
SEN,SIC,EMPRESA ELÉCTRICA PORTEZUELO SPA,,76.461.861-0,HP LOS HIERROS II,En Operacion,21/09/2015,2015,Región del Maule,Colbún,,,,1,,ERNC,Mini Hidráulica Pasada,"6,03","6,00",Si,Pequeños medio de generación o PMG,NO APLICA,S/E CENTRAL LOS HIERROS II 110KV,,,,,,,,,,,,,"312243,9999","6031826,015",19H,Mini Hidráulica de Pasada,9,12/10/2021
SEN,SIC,EMPRESA ELÉCTRICAS AGUAS DEL MELADO SPA,,77.277.800-7,HP LOS HIERROS,En Operacion,12/04/2014,2014,Región del Maule,Colbún,,,,2,,Convencional,Hidráulica Pasada,"25,06","25,00",No,Instalaciones de generación,NO APLICA,S/E LOMA ALTA 220KV,,,,,,,,,,,,,"313639,9999","6029856,015",19H,Hidráulica de Pasada,9,12/10/2021
SEN,SIC,ENEL GENERACIÓN CHILE S.A.,,91.081.000-6,HP LOS MOLLES,En Operacion,01/01/1952,1952,Región de Coquimbo,Monte Patria,,,,2,,ERNC,Mini Hidráulica Pasada,"18,00","17,95",Si,Instalaciones de generación,NO APLICA,S/E LOS MOLLES 66KV B1,,,,,,,,,,,,,"348089,2948","6597647,26",19J,Mini Hidráulica de Pasada,5,12/10/2021
SEN,SIC,COLBÚN S.A.,,96.505.760-9,HP LOS QUILOS,En Operacion,01/01/1943,1943,Región de Valparaíso,San Esteban,,,,3,,Convencional,Hidráulica Pasada,"39,90","39,80",No,Instalaciones de generación,NO APLICA,S/E CENTRAL LOS QUILOS 66KV,,,,,,,,,,,,,"368282,4994","6362640,517",19H,Hidráulica de Pasada,6,12/10/2021
SEN,SIC,AES ANDES S.A.,,94.272.000-9,HP MAITENES,En Operacion,01/01/1923,1923,Región Metropolitana de Santiago,San José de Maipo,,,,3,,Convencional,Hidráulica Pasada,"27,00","26,92",No,Instalaciones de generación,NO APLICA,S/E CENTRAL MAITENES 110KV,,,,,,,,,,,,,"382836,1919","6289164,103",19H,Hidráulica de Pasada,7,12/10/2021
SEN,SIC,EMPRESA ELÉCTRICA CARÉN S.A.,,76.149.809-6,HP MALALCAHUELLO,En Operacion,28/10/2016,2016,Región de La Araucanía,Melipeuco,,,,2,,ERNC,Mini Hidráulica Pasada,"9,20","9,15",Si,Instalaciones de generación,NO APLICA,SE MELIPEUCO 23KV,,,,,,,,,,,,,281324.48,5693185.18,19H,Mini Hidráulica de Pasada,12,12/10/2021
SEN,SIC,DUQUECO SPA,,76.254.033-9,HP MAMPIL,En Operacion,01/01/2000,2000,Región del Biobío,Santa Bárbara,,,,2,,Convencional,Hidráulica Pasada,"55,00","54,91",No,Instalaciones de generación,NO APLICA,S/E CENTRAL MAMPIL 220KV,,,,,,,,,,,,,260780.28,5842172.94,19H,Hidráulica de Pasada,10,12/10/2021
SEN,SIC,HIDROELÉCTRICA RÍO LIRCAY S.A.,,76.025.973-K,HP MARIPOSAS,En Operacion,26/03/2011,2011,Región del Maule,San Clemente,,,,1,,ERNC,Mini Hidráulica Pasada,"6,30","6,29",Si,Pequeños medio de generación o PMG,NO APLICA,ID 1174 BA S/E MARIPOSAS 66KV BP1,,,,,,,,,,,,,294883.00,6058490.0,19 H,Mini Hidráulica de Pasada,9,12/10/2021
SEN,SIC,HIDROENERSUR S.A.,,76.003.174-7,HP MC1,En Operacion,29/05/2013,2013,Región de Los Lagos,Puerto Octay,,,,2,,ERNC,Mini Hidráulica Pasada,"9,00","8,95",Si,Pequeños medio de generación o PMG,NO APLICA,S/E RIO BONITO,,,,,,,,,,,,,"718639,0313","5467123,052",18G,Mini Hidráulica de Pasada,14,12/10/2021
SEN,SIC,HIDROENERSUR S.A.,,76.003.174-7,HP MC2,En Operacion,29/05/2013,2013,Región de Los Lagos,Puerto Octay,,,,1,,ERNC,Mini Hidráulica Pasada,"3,20","3,15",Si,Pequeños medio de generación o PMG,NO APLICA,S/E RIO BONITO,,,,,,,,,,,,,"718639,0313","5467123,052",18G,Mini Hidráulica de Pasada,14,12/10/2021
SEN,SIC,HIDROMOCHO S.A.,,76.376.443-5,HP MOCHO,En Operacion,06/01/2021,2021,Región de Los Ríos,Río Bueno,,,,1,,ERNC,Mini Hidráulica Pasada,"14,90","14,77",Si,Instalaciones de generación,No Aplica,S/E Mocho,,,,,,,,,,,,,732490,5497370,18G,Mini Hidráulica de Pasada,13,12/10/2021
SEN,SIC,HIDROENERSUR S.A.,,76.003.174-7,HP NALCAS,En Operacion,14/09/2012,2012,Región de Los Lagos,Puerto Octay,,,,3,,ERNC,Mini Hidráulica Pasada,"6,80","6,78",Si,Pequeños medio de generación o PMG,NO APLICA,S/E RIO BONITO,,,,,,,,,,,,,"724070,0005","5469472,018",18G,Mini Hidráulica de Pasada,14,12/10/2021
SEN,SIC,ENEL GENERACIÓN CHILE S.A.,,91.081.000-6,HP OJOS DE AGUA,En Operacion,27/06/2008,2008,Región del Maule,San Clemente,,,,1,,ERNC,Mini Hidráulica Pasada,"9,00","8,98",Si,Pequeños medio de generación o PMG,NO APLICA,S/E CIPRESES,,,,,,,,,,,,,336635.99,6038272.21,19H,Mini Hidráulica de Pasada,9,12/10/2021
SEN,SIC,HIDROELÉCTRICA PALACIOS SPA,,76.585.842-9,HP PALACIOS,En Operacion,05/11/2019,2019,Región del Libertador Gral. Bernardo O’Higgins,San Fernando,,,,1,,ERNC,Mini Hidráulica Pasada,"3,04","3,02",Si,Pequeños medio de generación o PMG,NO APLICA,S/E EL PASO 154 KV,,,,,,,,,,,,,377462.04,6136965.27,19 H,Mini Hidráulica de Pasada,8,12/10/2021
